,DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem,Quan
558,"Nguyễn Hữu Thọ, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",16.3,The Landmark 81 - Vinhomes Central Park,146.6,Đã bàn giao,111.19,4.0,,,,,,,, Quận Bình Thạnh
559,"7E, Đường Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",3.3,Garden Gate,50.4,Đã bàn giao,65.48,3.0,1.0,5.0,Đang chờ sổ,Hoàn thiện cơ bản,Đông Nam,Đông Nam,Căn góc, Quận Phú Nhuận
560,"Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",2.075,Terra Mia Phạm Hùng Bình Chánh,60.0,Đã bàn giao,34.58,2.0,2.0,9.0,,,Đông Nam,,Căn góc, Huyện Bình Chánh
561,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.49,Saigon Riverside Complex Q7,67.0,Đã bàn giao,37.16,2.0,,,,,,,, Quận 7
562,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.5,Saigon Riverside Complex Q7,66.0,Đã bàn giao,37.88,2.0,2.0,,,Hoàn thiện cơ bản,Đông Nam,Tây Bắc,, Quận 7
563,"Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.5,The Eastern,98.0,Đã bàn giao,25.51,3.0,,,Đã có sổ,,,,, Thành phố Thủ Đức
564,"90A, Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh",2.433,Xi Grand Court,80.0,Đã bàn giao,30.41,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 10
565,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",3.55,Celadon City,71.0,Đã bàn giao,50.0,2.0,2.0,,Giấy tờ khác,Bàn giao thô,,,, Quận Tân Phú
566,"Cây Keo, Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.53,Đạt Gia Residence Thủ Đức,60.0,Chưa bàn giao,25.5,2.0,2.0,,,,,,, Thành phố Thủ Đức
567,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",1.8,Sunrise CityView,38.0,Đã bàn giao,47.37,1.0,1.0,,,,,,, Quận 7
568,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",1.55,Sunrise City,86.0,Đã bàn giao,18.02,2.0,2.0,9.0,Đã có sổ,Nội thất đầy đủ,Bắc,Nam,, Quận 7
569,"Đường Nguyễn Văn Linh, Phường 7, Quận 8, TP. Hồ Chí Minh, Phường 7, Quận 8, Tp Hồ Chí Minh",1.738,Dream Home Riverside,75.0,Đã bàn giao,23.17,3.0,2.0,20.0,Đang chờ sổ,Nội thất cao cấp,Tây Bắc,Đông Nam,Căn góc, Quận 8
570,"Nội khu dự án Vinhomes Grand Park- đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, TP HCM., Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.942850254,The Origami – Vinhomes Grand Park,64.0,Đã bàn giao,45.98,3.0,2.0,13.0,Đã có sổ,Hoàn thiện cơ bản,Đông Nam,Nam,, Thành phố Thủ Đức
571,"Số 1, Tôn Thất Thuyết, Phường 18, Quận 4, Tp Hồ Chí Minh",7.0,Căn hộ DE LA SOL (Delasol),73.0,Chưa bàn giao,95.89,1.0,,,,,,,, Quận 4
572,"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",1.8,Orchid Park,72.0,Đã bàn giao,25.0,2.0,2.0,,,,,,, Huyện Nhà Bè
573,"654/6, 654/6 Đường Lạc Long Quân, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",2.5,The Era Lạc Long Quân (The Useful),54.0,Đã bàn giao,46.3,2.0,1.0,10.0,Đang chờ sổ,Nội thất đầy đủ,,,, Quận Tân Bình
574,"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",1.78,Orchid Park,75.0,Đã bàn giao,23.73,2.0,2.0,,Đã có sổ,,,,, Huyện Nhà Bè
575,"Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",1.98,Hưng Ngân Garden,68.0,Chưa bàn giao,29.12,2.0,2.0,8.0,Đã có sổ,Nội thất cao cấp,Nam,Bắc,, Quận 12
576,"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.0,Ricca,57.0,Đã bàn giao,35.09,2.0,1.0,,,,,,, Thành phố Thủ Đức
577,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.6,Saigon Riverside Complex Q7,67.0,Đã bàn giao,38.81,2.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,,,, Quận 7
578,"Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",2.68,Hoàng Kim Thế Gia (The Golden Dynasty),83.0,Đã bàn giao,32.29,3.0,2.0,,,Nội thất đầy đủ,,,Căn góc, Quận Bình Tân
579,"Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh",1.0,D-Aqua,71.0,Chưa bàn giao,14.08,2.0,2.0,25.0,Giấy tờ khác,Hoàn thiện cơ bản,,,Căn góc, Quận 8
580,"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.8,Saigon Gateway,62.0,Đã bàn giao,29.03,2.0,2.0,,,,,,, Thành phố Thủ Đức
581,"18E, 18E Số 18E Đường Cộng Hòa, Phường 4, Quận Tân Bình, TP Hồ Chí Minh, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",1.4,Republic Plaza,54.0,Đã bàn giao,25.93,2.0,1.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận Tân Bình
582,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",4.5,Sunrise City,106.0,Đã bàn giao,42.45,2.0,2.0,,Đã có sổ,Nội thất cao cấp,,,Căn góc, Quận 7
583,"số 32, số 32 đường Thủy Lợi, Phường Phước Long A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.5,Him Lam Phú An,69.0,Đã bàn giao,36.23,2.0,2.0,,,,,,, Thành phố Thủ Đức
584,"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",2.85,Osimi Tower,75.0,Đã bàn giao,38.0,3.0,2.0,,,,,,, Quận Gò Vấp
585,"163, Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh",4.6,Cao ốc Satra - Eximland,88.0,Đã bàn giao,52.27,2.0,2.0,11.0,Đã có sổ,,,,, Quận Phú Nhuận
586,"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.1,Saigon Gateway,65.0,Đã bàn giao,32.31,2.0,2.0,9.0,,,,,, Thành phố Thủ Đức
587,"An Lạc, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",3.2,Moonlight Park View,67.0,Đã bàn giao,47.76,2.0,2.0,,,Nội thất cao cấp,,,, Quận Bình Tân
588,"Tân Phú, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",6.08,Phân khu The Peak - Midtown Phú Mỹ Hưng,86.0,Đã bàn giao,70.7,2.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,,,, Quận 7
589,"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",5.2,Vinhomes Central Park,71.0,Đã bàn giao,73.24,2.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,Tây Nam,Đông Bắc,, Quận Bình Thạnh
590,"D6, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.8,Fresca Riverside,55.0,Đã bàn giao,32.73,2.0,2.0,9.0,,,,,, Thành phố Thủ Đức
591,"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",5.3,The Sun Avenue,96.0,Đã bàn giao,55.21,3.0,2.0,,,,,,, Thành phố Thủ Đức
592,"47, Tân Thới Hòa, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",2.7,Carillon 7,66.0,Chưa bàn giao,40.91,2.0,1.0,,Đã có sổ,Hoàn thiện cơ bản,Tây,Đông,, Quận Tân Phú
593,"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",3.1,Richmond City,66.0,Đã bàn giao,46.97,2.0,,,,,,,, Quận Bình Thạnh
594,"Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",1.75,EHome 3,64.0,Đã bàn giao,27.34,2.0,,,,,,,, Quận Bình Tân
595,"Phan Chu Trinh, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",2.8,Chung cư 1050 Chu Văn An,60.0,Chưa bàn giao,46.67,2.0,1.0,10.0,,,,,, Quận Bình Thạnh
596,"348, Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh",2.15,Vạn Đô,53.0,Đã bàn giao,40.57,1.0,1.0,,Đã có sổ,Hoàn thiện cơ bản,,,, Quận 4
597,"36, Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",2.399,Lotus Garden,53.0,Đã bàn giao,45.26,1.0,,6.0,,Nội thất đầy đủ,,,Căn góc, Quận Tân Phú
598,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",3.52,Celadon City,71.0,Đã bàn giao,49.58,2.0,2.0,,,Nội thất đầy đủ,,,, Quận Tân Phú
599,"Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh",2.25,Green River - Quận 8,69.0,Đã bàn giao,32.61,2.0,2.0,,,,,,, Quận 8
600,"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.99,Ricca,65.0,Đã bàn giao,30.62,2.0,2.0,,,,,,, Thành phố Thủ Đức
601,"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",4.19,The Sun Avenue,76.0,Đã bàn giao,55.13,2.0,2.0,,Đang chờ sổ,Nội thất cao cấp,,,, Thành phố Thủ Đức
602,"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",8.4,Celadon City,95.9,Chưa bàn giao,87.59,2.0,2.0,,,,Đông Nam,,Căn góc, Quận Tân Phú
603,"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",1.59,Dream Home Riverside,62.0,Chưa bàn giao,25.65,2.0,2.0,,,,,,, Quận 8
604,"Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",5.4,Đất Phương Nam,131.0,Đã bàn giao,41.22,3.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,Đông Nam,,, Quận Bình Thạnh
605,"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",3.1,Q7 Boulevard,70.0,Đã bàn giao,44.29,2.0,2.0,19.0,Đang chờ sổ,Hoàn thiện cơ bản,Bắc,Nam,, Quận 7
606,"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",1.9,Osimi Tower,53.0,Đã bàn giao,35.85,2.0,,,,,,,, Quận Gò Vấp
607,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",3.4,Celadon City,71.0,Đã bàn giao,47.89,2.0,2.0,,,Nội thất đầy đủ,,,, Quận Tân Phú
608,"D1, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",1.55,Wilton Tower,1.0,Đã bàn giao,1550.0,2.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,,,, Quận Bình Thạnh
609,"Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",1.35,Khang Gia Tân Hương (Lucky Apartment),62.0,Chưa bàn giao,21.77,2.0,1.0,14.0,Đang chờ sổ,Nội thất đầy đủ,,,, Quận Tân Phú
610,"Tân Thuận Đông, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",2.7,Căn hộ An Viên,76.5,Đã bàn giao,35.29,2.0,2.0,,Đã có sổ,,,,, Quận 7
611,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",3.42,Akari City,75.13,Đã bàn giao,45.52,2.0,2.0,,Đang chờ sổ,,,,, Quận Bình Tân
612,"Số 584, Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",7.8,The View Riviera Point,150.0,Đã bàn giao,52.0,3.0,2.0,32.0,Đang chờ sổ,Nội thất đầy đủ,Tây Nam,Đông Bắc,Căn góc, Quận 7
613,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",7.3,Sunrise City,162.0,Đã bàn giao,45.06,3.0,2.0,,Đã có sổ,Nội thất cao cấp,,,Căn góc, Quận 7
614,"Tăng Nhơn Phú, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.0,9 View Apartment,58.0,Đã bàn giao,34.48,2.0,2.0,,,,,,, Thành phố Thủ Đức
615,"113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",1.63,Chung cư Lê Thành,71.8,Đã bàn giao,22.7,2.0,2.0,8.0,Đã có sổ,,,,, Quận Bình Tân
616,"315, Lý Thường Kiệt, Phường 15, Quận 11, Tp Hồ Chí Minh",3.1,Căn hộ Thuận Việt,77.0,Đã bàn giao,40.26,2.0,1.0,9.0,Đã có sổ,Hoàn thiện cơ bản,Đông Nam,Tây Bắc,, Quận 11
617,"Khu đô thị Cityland Park Hills - Số 18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",3.9,Căn hộ Cityland Parkhill Gò Vấp,65.5,Đã bàn giao,59.54,2.0,2.0,2.0,Đã có sổ,Nội thất đầy đủ,,,, Quận Gò Vấp
618,"Số 7, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",1.5,Full House,56.0,Đã bàn giao,26.79,1.0,1.0,,,,,,, Quận Bình Tân
619,"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",1.35,Saigon Homes Bình Tân,53.0,Chưa bàn giao,25.47,2.0,1.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận Bình Tân
620,"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.45,Topaz Elite,68.0,Đã bàn giao,36.03,2.0,2.0,,Đã có sổ,,,,Căn góc, Quận 8
621,"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.79,Saigon Gateway,57.0,Đã bàn giao,31.4,2.0,1.0,,,,,,, Thành phố Thủ Đức
622,"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.4000024,Topaz Elite,70.0,Đã bàn giao,34.29,2.0,2.0,,,,,,, Quận 8
623,"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.4,Opal Riverside,71.0,Đã bàn giao,47.89,2.0,2.0,17.0,,,Tây Nam,Đông Bắc,, Thành phố Thủ Đức
624,"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",1.5,Saigon Homes Bình Tân,58.0,Chưa bàn giao,25.86,2.0,1.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận Bình Tân
625,"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",1.75,Orchid Park,72.0,Đã bàn giao,24.31,2.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,,,, Huyện Nhà Bè
626,"DC13, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",1.85,TaniBuilding Sơn Kỳ 1,71.0,Đã bàn giao,26.06,2.0,,,Đã có sổ,,,,, Quận Tân Phú
627,"996, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",1.15,The Pegasuite 2,52.0,Chưa bàn giao,22.12,2.0,,,,,,,, Quận 8
628,"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",1.45,The Pegasuite,78.0,Đã bàn giao,18.59,2.0,2.0,9.0,Đã có sổ,Nội thất đầy đủ,,,, Quận 8
629,"89, Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",6.0,Sky 89 An Gia,114.0,Đã bàn giao,52.63,3.0,2.0,24.0,,Hoàn thiện cơ bản,,,, Quận 7
630,"208, 208 Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",4.6,Vinhomes Central Park,70.0,Đã bàn giao,65.71,2.0,2.0,,,Nội thất đầy đủ,,,, Quận Bình Thạnh
631,"Số 9, Nguyễn Khoái, Phường 1, Quận 4, Tp Hồ Chí Minh",1.65,Galaxy 9,1.0,Đã bàn giao,1650.0,2.0,2.0,,,,,,, Quận 4
632,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.56,Saigon Riverside Complex Q7,67.0,Đã bàn giao,38.21,2.0,2.0,,,Hoàn thiện cơ bản,,,, Quận 7
633,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.489,Saigon Riverside Complex Q7,69.0,Chưa bàn giao,36.07,2.0,2.0,,,,,,, Quận 7
634,"Số 243, Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",1.36,Summer Square,1.0,Đã bàn giao,1360.0,2.0,2.0,8.0,Đã có sổ,,,,, Quận 6
635,"Số 12, Số 12 Số 12 Tôn Đản, Phường 13, Quận 4, Hồ Chí Minh, Phường 13, Quận 4, Tp Hồ Chí Minh",1.58,Khu căn hộ Contrexim - Copac Square,62.0,Chưa bàn giao,25.48,2.0,1.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 4
636,"130-132, Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",8.5,Orchard Park View,106.0,Đã bàn giao,80.19,3.0,2.0,,Đang chờ sổ,,,,, Quận Phú Nhuận
637,"49, 8, Phường 8, Quận 8, Tp Hồ Chí Minh",4.1,Diamond Lotus Riverside,73.0,Đã bàn giao,56.16,2.0,2.0,,,,,,, Quận 8
638,"146, Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh",8.9,Kingston Residence,115.0,Đã bàn giao,77.39,3.0,2.0,,,,,,Căn góc, Quận Phú Nhuận
639,"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.7,Sunview Town,61.0,Đã bàn giao,27.87,2.0,2.0,,,,,,, Thành phố Thủ Đức
640,"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",1.68,Topaz Elite,1.0,Chưa bàn giao,1680.0,2.0,2.0,,Đã có sổ,Nội thất cao cấp,,,, Quận 8
641,"Đường Võ Chí Công, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.4,Safira Khang Điền (Sapphire Khang Điền),91.0,Chưa bàn giao,37.36,3.0,2.0,14.0,Đã có sổ,Nội thất cao cấp,Đông Nam,Đông Bắc,, Thành phố Thủ Đức
642,"Bình An, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",15.0,The River Thủ Thiêm,94.0,Đã bàn giao,159.57,2.0,2.0,16.0,,,,,, Thành phố Thủ Đức
643,"An Phú Tây, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",1.35,HQC An Phú Tây,68.0,Đã bàn giao,19.85,2.0,2.0,,,,,,Căn góc, Huyện Bình Chánh
644,"151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh",7.9,River Gate,115.0,Đã bàn giao,68.7,3.0,2.0,,Đang chờ sổ,Nội thất cao cấp,Tây Nam,Đông Bắc,, Quận 4
645,"An Lạc, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",3.25,Moonlight Park View,76.0,Đã bàn giao,42.76,2.0,2.0,16.0,Đã có sổ,Hoàn thiện cơ bản,Bắc,Nam,, Quận Bình Tân
646,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.0,Saigon Riverside Complex Q7,65.0,Đã bàn giao,30.77,2.0,2.0,,,,,,, Quận 7
647,"241/42, Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh",1.58,Starlight Riverside,68.0,Đã bàn giao,23.24,2.0,2.0,12.0,Đã có sổ,Nội thất cao cấp,,,, Quận 6
648,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.89,Vinhomes Grand Park,81.5,Đã bàn giao,35.46,3.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,Đông Bắc,Tây Nam,Căn góc, Thành phố Thủ Đức
649,"89, Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",5.5,Sky 89 An Gia,114.0,Đã bàn giao,48.25,3.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,Đông,Tây,Căn góc, Quận 7
650,"nguyễn xiễn, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",2.729,Vinhomes Central Park,48.0,Chưa bàn giao,56.85,1.0,,,,,,,, Quận Bình Thạnh
651,"239 – 241 – 278, Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",2.78,Căn hộ RichStar,63.0,Đã bàn giao,44.13,2.0,,,,Nội thất đầy đủ,,,, Quận Tân Phú
652,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.55,Saigon Riverside Complex Q7,66.66,Đã bàn giao,38.25,2.0,2.0,,,,,,, Quận 7
653,"151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh",2.35,River Gate,32.0,Đã bàn giao,73.44,1.0,,,Đang chờ sổ,Nội thất cao cấp,Đông Bắc,Tây Nam,, Quận 4
654,"Đường Mai Chí Thọ, phường Thủ Thiêm, quận 2, Tp.HCM, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",7.0,Empire City Thủ Thiêm,64.0,Đã bàn giao,109.38,1.0,1.0,2.0,Đang chờ sổ,Nội thất cao cấp,,,, Thành phố Thủ Đức
655,"Đồng Văn Cống, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.9,Citi Home,73.0,Đã bàn giao,26.03,2.0,2.0,,,Nội thất đầy đủ,,,Căn góc, Thành phố Thủ Đức
656,"Đường Võ Văn Kiệt, Phường 16, Quận 8, Thành phố Hồ Chí Minh, Phường 16, Quận 8, Tp Hồ Chí Minh",1.95,City Gate Towers,73.0,Đã bàn giao,26.71,2.0,2.0,,,,,,Căn góc, Quận 8
657,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.85,Saigon Riverside Complex Q7,69.0,Đã bàn giao,26.81,1.0,,,,,,,, Quận 7
658,"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",3.15,The Pegasuite,68.0,Đã bàn giao,46.32,2.0,2.0,32.0,Đã có sổ,Nội thất cao cấp,Tây,Đông,, Quận 8
659,"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.53,Saigon Riverside Complex Q7,66.0,Đã bàn giao,38.33,2.0,2.0,,,,,,, Quận 7
660,"90A, 90A 90A Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh, Phường 14, Quận 10, Tp Hồ Chí Minh",5.8,Xi Grand Court,90.0,Đã bàn giao,64.44,3.0,2.0,,,,,,Căn góc, Quận 10
661,"104 Số 104 Phổ Quang, Phường 2, Quận Tân Bình, TP Hồ Chí Minh, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",1.83,The Botanica,57.0,Đã bàn giao,32.11,2.0,1.0,,Đã có sổ,,,,, Quận Tân Bình
662,"772, Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.58,Jamona City,50.0,Chưa bàn giao,31.6,1.0,1.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 7
663,"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",1.77,Orchid Park,75.0,Đã bàn giao,23.6,2.0,2.0,,Đã có sổ,,,,, Huyện Nhà Bè
664,"Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",1.92,Khu đô thị mới 13B Conic - Nam Sài Gòn,70.0,Chưa bàn giao,27.43,2.0,,,,,,,, Huyện Bình Chánh
665,"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",3.18,Phú Hoàng Anh,129.0,Chưa bàn giao,24.65,3.0,2.0,16.0,,Nội thất cao cấp,Đông Nam,,Căn góc, Huyện Nhà Bè
666,"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.42,Opal Riverside,71.0,Đã bàn giao,48.17,2.0,2.0,,,,,,, Thành phố Thủ Đức
667,"11, Phường 11, Quận 6, Tp Hồ Chí Minh",3.88,Him Lam Chợ Lớn,102.0,Đã bàn giao,38.04,3.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 6
668,"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.1,Lavita Charm,51.0,Đã bàn giao,41.18,1.0,1.0,,,,,,, Thành phố Thủ Đức
669,"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",9.5,Vinhomes Central Park,115.0,Đã bàn giao,82.61,3.0,2.0,,,,,,, Quận Bình Thạnh
670,"Đường số 1, phường Trường Thọ, quận Thủ Đức, Tp.HCM, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.85,Lavita Charm,67.0,Đã bàn giao,42.54,2.0,2.0,,,,,,, Thành phố Thủ Đức
